SampleID	Sequence_Length	Rossmann_Fold	NADP_Basic	NAD_Acidic	Ferredoxin_FeS	Mo_MGD_Binding	Heme_Binding_CXXCH	Iron_Sulfur_CxxC
AWI64126.1_EC_1.14.99.39	163	0	1	0	0	0	0	0
ACL58880.1_EC_1.18.6.1	506	3	8	3	0	0	0	0
tr|Q4FPC4|Q4FPC4_PELUB_EC_1.4.1.13	512	2	12	3	0	0	0	0
tr|A0A7R6SZB8|A0A7R6SZB8_9BACT_EC_1.4.1.14	473	2	11	4	1	0	0	1
tr|A0ABN8WW22|A0ABN8WW22_SACUV_EC_1.4.1.2	1093	1	21	10	0	1	0	1
tr|A0ACC2B2Z9|A0ACC2B2Z9_DIPCM_EC_1.4.1.3	458	2	10	1	0	0	0	0
tr|A0ABR2WIP7|A0ABR2WIP7_9FUNG_EC_1.4.1.4	97	0	0	0	0	0	0	0
tr|A0A2X4UDA3|A0A2X4UDA3_9NOCA_EC_1.4.7.1	1531	11	22	15	0	0	0	0
EIJ35129.1_EC_1.7.1.1	1138	0	15	3	0	1	0	2
KAB0654962.1_EC_1.7.1.15	1696	12	25	14	0	6	0	4
EJD52506.1_EC_1.7.1.2	840	1	9	7	0	0	0	0
tr|C4JF84|C4JF84_UNCRE_EC_1.7.1.3	979	0	21	7	0	0	0	0
tr|A0A0D8ZYF7|A0A0D8ZYF7_9CYAN_EC_1.7.1.4	117	0	2	2	0	0	0	0
KGQ08863.1_EC_1.7.2.1	643	0	3	6	0	0	0	0
WP_201913949.1_EC_1.7.2.2	226	0	3	2	3	2	0	4
tr|A0A1V6B7Y3|A0A1V6B7Y3_9BACT_EC_1.7.2.4	663	0	11	3	0	0	0	0
WP_073037784.1_EC_1.7.2.5	182	3	2	1	0	0	0	0
SJM94608.1_EC_1.7.2.6	543	1	9	2	0	2	8	8
OUS34378.1_EC_1.7.2.7	1000	1	9	3	0	0	2	2
AEO00656.1_EC_1.7.2.8	202	0	3	1	0	2	4	4
WP_082404145.1_EC_1.7.5.1	1232	3	20	7	0	0	0	0
ACJ27662.1_EC_1.7.7.1	565	3	11	5	0	0	0	0
RWQ05062.1_EC_1.7.7.2	2232	19	26	10	0	3	0	0
WP_201241705.1_EC_1.7.99.-	431	3	5	2	0	1	0	3
tr|A0A2K9EL45|A0A2K9EL45_9FIRM_EC_1.7.99.1	542	3	9	5	0	1	0	1
tr|A0A6A0IPY4|A0A6A0IPY4_9BACT_EC_1.7.99.4	228	0	3	0	0	0	0	0
tr|Q8KQF1|Q8KQF1_9PROT_EC_1.9.6.1	927	3	26	5	0	2	0	1
tr|A0AAX3APA7|A0AAX3APA7_HALDO_EC_6.3.1.2	456	2	5	4	0	0	0	0
NonEnzyme_Control_1_Q9WH76	229	1	5	2	0	0	0	0
NonEnzyme_Control_2_Q6DAH4	662	4	9	2	0	0	0	0
NonEnzyme_Control_3_Q14242	412	0	3	2	0	0	0	0
NonNitrogen_Enzyme_Control_1_Q7MBB9	304	3	6	2	0	0	0	0
NonNitrogen_Enzyme_Control_2_P47042	667	2	11	6	0	0	0	1
NonNitrogen_Enzyme_Control_3_P52714	505	1	4	3	0	0	0	0
